OBJECTID,NAME_OF_SE,ALT_NAME,STREETNAME,WARD_S,PLANNING_U,LATITUDE,LONGITUDE,REGION,WATER_SUPP,SANITATION,REFUSE,ELECTRIC_2,UNIREFCODE,EST_HHC,NUSP_CAT,Shape__Area,Shape__Length
148,Magabheni, ,Sibhakada Road,99,Magabeni,"-30,1696796214699","30,7716135005339",Southern,Ablution Facility Taps & Standpipes,Ablution facility & Pit Privies,C&SW contractor,TBC,I0845,35,C,1598.72336578369,280.469261279254
149,Ehlathini, ,Maqhelefika Road,99,Clansthal,"-30,1923482422831","30,7448628250001",Southern,TBC,TBC,C&SW contractor,TBC,I0909,33,B2,15489.8554077148,1502.82456875244
150,Umlazi - G - GX2 (Maputo) Overspill,GX2 ( Maputo),Imvubu Street / Umonya Road,79,Umlazi - G,"-29,9508780227167","30,8871424625",Southern,TBC,VIPs,C&SW contractor,Yes,I0247,22,B1,2781.90048599243,431.175378429296
151,Umlazi - J - J2,J2,King Dingane Road / Griffiths Mxenge Highway,83,Umlazi - J,"-29,9587470016942","30,8646408640719",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0263,248,B1,17951.4499206543,1130.95305914663
152,Umlazi - J - JX1,JX1,Griffiths Mxenge Highway,78,Umlazi - J,"-29,9607424744368","30,8591623880001",Southern,Ablution Facility Taps,Ablution Facilty,C&SW contractor,Yes,I0266,213,B1,18039.9376182556,1768.0415631843
153,Umlazi - L - LX7,LX7,1130 Street / Griffiths Mxenge Highway,83/78,Umlazi - L,"-29,9612281687973","30,8604193710001",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0288,312,B1,22369.9837608337,1575.11804835128
154,Umlazi - L - LX3 (Shayamoya),LX3 (Shayamoya),Sithole Road / 1130 Street / Griffiths Mxenge Highway,83,Umlazi - L / Umlazi - M,"-29,9609068752227","30,8646315365001",Southern,Ablution Facility Taps,Ablution Facilty,C&SW contractor,Yes,I0562,126,B2,7473.41853713989,663.258429305014
155,Umlazi - N - N10 (Menzi),N2 (Menzi),1202 Street / Griffiths Mxenge,82,Umlazi - N,"-29,9617350185164","30,8724375555001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0566,140,B2,10766.0530395508,1725.02835902967
156,Umlazi - M - M1,M1,Emthethweni Road / Griffiths Mxenge Highway,83,Umlazi - M,"-29,9627854975748","30,8715309959777",Southern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Planned,I0290,181,B1,11172.0573654175,596.568193759181
157,Umlazi - M - M2,"M2, Umlazi - Part 6 (MX5,M12,M18)",Njokweni Crescent / Ngwemabala Place,83,Umlazi - M / Umlazi - N,"-29,9643392936501","30,8727530220001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0563,175,C,14262.1120872498,976.15595609101
158,Umlazi - L - L2 (Egcakini),L2 (Egcakini),1115 Road / Ngangenkomeo Way,83,Umlazi - L,"-29,9681793477028","30,8603816098424",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0286,257,B1,26810.8950805664,1031.67093416732
159,Umlazi - L - L2,L2,1103 Street / Ngangenkomeo Way,83,Umlazi - L,"-29,9679395393067","30,8617415910001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0285,79,B1,7057.44023513794,577.503963553316
160,Umlazi - L - L12 (Ekuthuleni),L12 (Ekuthuleni),1103 Street / Corner Kick Way / Ekuthuleni Close,83,Umlazi - L,"-29,968745453251","30,8630211240001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0284,397,B1,27626.9167976379,1128.51682891355
161,Umlazi - K - K16/17,K16/17,Mpevu Road / Umzimvubu Road,78,Umlazi - K,"-29,9702211137198","30,8557185275001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0277,107,B1,12609.641784668,1030.22849436206
162,Umlazi - L - LX1 (Kwaphumephethe),LX1 (Kwaphumephethe),Mugabe Road,83,Umlazi - L / Umlazi - AA,"-29,9746285673487","30,8680561305",Southern,TBC,Pit Privies,C&SW contractor,Yes,I0559,54,C,4041.19868087769,445.806146287172
163,Umlazi - M - M8/9/10,"M8/9/10, Umlazi - Part 6, MX7",Sukuma Road / Monya Road / Nongqawuse Road,83,Umlazi - M / Umlazi - L,"-29,9745003514516","30,8708792897756",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Planned,I0294,680,B1,76268.5816459656,2477.0860719482
164,Umlazi - M - M5,M5,1103 Street / Nyambose Place,83,Umlazi - M,"-29,9707803269177","30,8694057285002",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0293,216,B1,19510.5557174683,1307.63535349926
165,Umlazi - A - MX1,MX1,Nongqawuse Road,83,Umlazi - M / Umlazi - AA,"-29,9775277459024","30,876021824797",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0142,231,B1,28800.6082496643,1171.50490688619
166,Umlazi - M - MX4 (Ekuthuleni),MX4 (Ekuthuleni),Emthethweni Road / Mkhovothi Road,83,Umlazi - M,"-29,9739566388366","30,8768866530001",Southern,Ablution Facility Taps,Ablution facility & Pit Privies,C&SW contractor,Yes,I0555,141,C,12476.4944114685,1383.10545684602
167,Umlazi - M - MX2,MX2,Maphitha Road,83,Umlazi - M,"-29,9756069455804","30,8792837725001",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Yes,I0296,201,B1,21135.5285263062,2174.45119286378
168,Umlazi - L - LX2,LX2,Ematsheni Place,83,Umlazi - L,"-29,9652584794694","30,8671845050919",Southern,TBC,Pit Privies,C&SW contractor,Yes,I0287,77,B1,4556.60427474976,616.136401981474
169,Umlazi - L - LX6 E ( Nyanda Park),LX6 E ( Nyanda Park),Bheka Road / Khalamazu Road,83,Umlazi - L,"-29,9706827678884","30,8650042730001",Southern,1 Standpipe,Pit Privies,C&SW contractor,Planned,I0702,28,B2,1300.60847854614,174.972359520074
170,Umlazi - J - JX15,JX15,Mthombothi Avenue / Sinqawe Lane,78,Umlazi - J,"-29,9575068969602","30,8569128257375",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0560,29,B2,1709.01704788208,204.727576722991
171,Umlazi - J - J12,J12,Ngcongo Avenue,78,Umlazi - J,"-29,9577375988258","30,8589703425001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0259,48,B1,4250.80436706543,659.657384918232
172,Umlazi - L - LX2 (Phola Park),"LX2 (Phola Park), Umlazi - Part 2",Bhabha Road,83,Umlazi - L,"-29,9681975956631","30,867226169565",Southern,TBC,Pit Privies,C&SW contractor,Yes,I0561,8,B2,929.537864685059,201.94857481881
173,Umlazi - N - N11,N11,Sosibo Place,85,Umlazi - N,"-29,9668022121477","30,8732250402081",Southern,TBC,Pit Privies,C&SW contractor,Yes,I0564,12,B2,1202.18309402466,183.805269103957
174,Umlazi - M - M 7/MX14 (Emhlabeni),M 7/MX14 (Emhlabeni),Mshengu place / Nhlakanipho Place / Ntombazi Street,83/85,Umlazi - M,"-29,9676319316314","30,8729925652873",Southern,Ablution Facility Taps & 6 Standpipe,Ablution Facility,C&SW contractor,Planned,I0289,116,B1,9632.59362030029,986.766829719332
175,Umlazi - M - M12,M12,Emthethweni Road / Mabhuda Road,83,Umlazi - M,"-29,9731117408751","30,8744342350552",Southern,Ablution Facility Taps & 4 Standpipe,Ablution Facility,C&SW contractor,Yes,I0291,304,B1,33615.5665130615,1234.04966725684
176,Umlazi - M - MX15,MX15,Griffiths Mxenge Highway / Emthethweni Road,83,Umlazi - M,"-29,9627600009778","30,8694077509987",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0295,119,B1,6230.42805480957,521.877095098524
177,K2,K2,Sangcobe Road,78/83,Umlazi - K,"-29,9651125894965","30,8608117730001",Southern,TBC,TBC,C&SW contractor,Planned,I0279,24,B1,1696.2467956543,360.116348425055
178,Umlazi - P - Nyathela Rd,Nyathela Rd,Nyathela Roadd,85,Umlazi - P,"-29,9774681458804","30,8808206996787",Southern,TBC,TBC,C&SW contractor,Planned,I0308,12,B1,875.733425140381,231.319696855683
179,Umlazi - M - H1 (Enkanini),H1 (Enkanini),Kind Dingane Road,83,Umlazi - M / Umlazi - H,"-29,9590011288737","30,8717854057501",Southern,Ablution Facility Taps & 1 Standpipe,Ablution facility & Pit Privies,C&SW contractor,Yes,I0812,70,C,2924.82601547241,359.78554549959
180,Umlazi - L - L12,L12,1103 Street,83,Umlazi - L,"-29,9642870416635","30,8640097665001",Southern,TBC,TBC,C&SW contractor,Planned,I0817,75,B2,5713.5860824585,892.195276224222
181,Umlazi - M - MX7 (Zamokuhle),MX7 (Zamokuhle),Malasi Street /  Zamokuhle Street / Emthethweni Road,83,Umlazi - M,"-29,9673623048868","30,8709878806758",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Planned,I0299,28,B1/A,1326.03425598145,163.125444544882
182,Umlazi - L - L12 1 Overspill, ,Sinamuva Street,83,Umlazi - M,"-29,9634080930463","30,8655248559063",Southern,TBC,TBC,C&SW contractor,TBC,I0908,46,B1,2107.13863372803,248.368717567989
183,Umlazi - AA - Chicago,"AA-Chicago, Umlazi - Part 6",Chicago Road,84,Umlazi - AA,"-29,9734703956472","30,8584955010001",Southern,Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0214,1128,B1,104682.264408112,3434.98654182121
184,Umlazi - - L4 (A&B),L4 (A&B),Phola Crescent / Sakhisizwe Place,83,Umlazi - L,"-29,9718876648477","30,8601263372501",Southern,Ablution Facility Taps & 4 Standpipe,Ablution Facility,C&SW contractor,Yes,I0206,165,B1,22627.4738502502,1721.19135035158
185,Umlazi - A - AA X4 (Power),AAX4-Power station,Mugabe Road,84,Umlazi - AA / Umlazi - L,"-29,9745807245926","30,8638426665001",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0211,420,B1,29472.5912284851,1733.67656482207
186,Umlazi - H - H7,H7,Senzangakhona Road,79,Umlazi - H,"-29,9448942417517","30,873695486",Southern,TBC,Pit Privies,C&SW contractor,Yes,I0253,122,B1,10479.9706344604,1475.57266399255
187,Umlazi - H - H1,H1,Sokesimbone Road,83,Umlazi - H,"-29,9557420149768","30,8666562687311",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0846,57,B2,2394.73318481445,384.223155871992
188,Umlazi - G - GX3,GX3,107810 Street / Bheki Mkhasibe Road,79,Umlazi - G,"-29,9430999933085","30,8783581089443",Southern,TBC,VIPs,C&SW contractor,Yes,I0248,46,A,2447.69558334351,412.383348595358
189,Umlazi - G - GX4,GX4,Ndlulamithi Crescent,79,Umlazi - G,"-29,9421249744523","30,8781626090001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0249,490,A,43799.2617759705,5332.27812467196
190,Umlazi - P - PX7,PX7,Mabopha Avenue / Umdoni Street,87/85,Umlazi - P,"-29,9704952037435","30,8893477627419",Southern,Ablution Facility Taps,Ablution Facility & Pit Privies,C&SW contractor,Planned,I0313,60,B1,5023.55616378784,458.096942331333
191,Umlazi - N - N6,N6,Vusi Mtshali Drive / Mambo Avenue,85,Umlazi - M / Umlazi - N,"-29,9704032304018","30,8793229212353",Southern,TBC,Pit Privies,C&SW contractor,Yes,I0303,34,B1,3332.52801895142,439.257386357506
192,Umlazi - N - Maponya 2, ,Maponya Street,82,Umlazi N,"-29,9593282003898","30,8810904649998",Southern,TBC,TBC,C&SW contractor,TBC,I0921,23,B1,2225.31268692017,392.419396067903
193,Umlazi - Q - Q13 & 14 overspill, ,Maviyo Road / 109411 street,87,Umlazi Q,"-29,9841400248736","30,8907230535",Southern,TBC,TBC,C&SW contractor,TBC,I0922,49,B2,3652.66101837158,551.704235826803
194,Umlazi - G -GX1,GX1,Chester Cele Crescent/ Indlulamithi Crescent,79,Umlazi - G,"-29,9486147112368","30,8814230687842",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0250,12,A,1277.3176574707,389.325069935095
195,Umlazi - - F1 Overspill, ,Inkanyamba Road,81/82,Umlazi - G / Umlazi - F,"-29,9520916463244","30,8890933284803",Southern,TBC,Pit Privies,C&SW contractor,Planned,I0838,23,C,2908.99038696289,488.26164687331
196,Umlazi - Z - Z5,Z5,Malusi Cele Avenue / Iphupho Grove / Inqawe Circle,85,Umlazi - Z,"-29,9892345268211","30,8836389595693",Southern,Ablution Facility Taps & 3 Standpipe,Ablution Facility,C&SW contractor,Planned_street lights,I0355,37,A,6580.03346252441,1036.94465410943
197,Umlazi - U - U M H (Lusaka),U M H (Lusaka),South Spinal Road / Masihlangane Lane,85,Umlazi - U,"-29,9901542094528","30,8873694075001",Southern,3 standpipes,VIPs,C&SW contractor,Yes,I0335,47,A,3255.3572845459,714.324202419296
198,Umlazi - Z - ZX1,ZX1,Mzwandile Close,85,Umlazi - Z,"-29,9915676185616","30,88290088475",Southern,TBC,Pit Privies,C&SW contractor,Planned,I0360,28,B1,1571.27735900879,343.355944828964
199,Umlazi - A - AAX4 (Extension),AAX4-Extension,Mugabe Road,84,Umlazi - AA,"-29,9748608524192","30,8666058685001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0700,35,B2,1694.86309814453,403.793716455766
200,Umlazi - M - MX3,MX3,Mqangala Road / Mkhovothi Road,83,Umlazi - M,"-29,975454914085","30,8764151983353",Southern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0297,160,B1,17762.2676315308,1543.06139412421
201,Umlazi - J - JX8,JX8,Sgqoko Road,83,Umlazi - J / Umlazi - M,"-29,960145678435","30,8656998692501",Southern,Standpipes,Pit Privies,C&SW contractor,Yes,I0271,70,B1,6544.37369537354,890.584317915271
202,Umlazi - M - M14(Shisa-Bhe),M14(Shisa-Bhe),Vusi Mtshali Drive / Hosiyana Streey,83,Umlazi - M,"-29,9706393353719","30,8759320275",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Yes,I0292,233,B1,18129.0026550293,2100.65920377332
203,Umlazi - J Station, ,King Dingane Road,83/77,Umalzi J / Umlazi - M,"-29,9559426192374","30,8660130967225",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Planned,I0272,375,B1,20463.8175239563,2761.42638242271
204,Umlazi - H - HX2 Overspill,HX2 Overspill,Tsitsi Mashinini Road / 107930 Street,82,Umlazi - H,"-29,9491016982096","30,876899634924",Southern,TBC,VIPs,C&SW contractor,TBC,I0869,15,B2,598.368724822998,215.703577828217
205,Umlazi - P - PMH,PMH,Emthethweni Road / Zama Ngobo Avenue,85/83,Umlazi - P / Umlazi - M,"-29,9749839566495","30,8786397517502",Southern,TBC,Pit Privies,C&SW contractor,Yes,I0310,100,A,9352.74517059326,1082.46823813502
206,Umlazi - P - PX4,PX4,Bhubhubhu Road / Phambili Road / Mkhiwane Road,85,Umlazi - P / Umlazi - Q,"-29,9801433147603","30,8823367045001",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0312,130,B1,10438.9184455872,1344.42482336137
207,Umlazi - G - GX5 (Ekuthuleni),GX5 (Ekuthuleni),Igwababa Crescent / Iphothwe Lane,79,Umlazi - G,"-29,9452716670502","30,8799406610001",Southern,TBC,Pit Privies,C&SW contractor,Yes,I0546,65,B2,5483.57577896118,950.293368298451
208,Umlazi B10 - HX4 Overspill, ,122774 street / 107810 street,79,Umlazi H / Umlazi G,"-29,9415637296099","30,8753678247501",Southern,TBC,TBC,C&SW contractor,TBC,I0923,306,B2,34557.5342826843,3156.97787830412
209,Umlazi - H - HX3,HX3,109136 Street / Bheki Mkhasibe Road,79,Umlazi - H,"-29,9473376143329","30,8734717426092",Southern,TBC,VIPs,C&SW contractor,Yes,I0254,594,A,46608.1884918213,6105.14524245534
210,Umlazi - H - H3/H17,"H3/H17, HX17",Tsitsi Mashinini Road / 107930 Street,82,Umlazi - H,"-29,9515257695013","30,8725076275001",Southern,TBC,VIPs,C&SW contractor,Yes,I0252,185,B1,14133.2750167847,1162.06836967072
211,Kwa Ntobela, ,300066 Street,99,Clansthal,"-30,1901270907437","30,7514857135735",Southern,TBC,Pit Privies,C&SW contractor,Planned,I0607,57,C,5756.79689788818,898.177140831099
212,Umlazi - M - MX6 (Ekuphileni),MX6 (Ekuphileni),Esiphethwini Road / Viviyo Road / Mphathi Avenue,83/85,Umlazi - M,"-29,97262518296","30,8778561972501",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facilty,C&SW contractor,Yes,I0298,44,B1,7927.59136962891,1076.54954795541
213,Umlazi - A - A3,A3,Lucky Lushaba Road,80,Umlazi - A,"-29,956376901609","30,9139412345",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0209,88,B1,14510.8727931976,1036.58936699238
214,Umlazi - B - BX9 (Emndeni II),BX9 (Emndeni II),Zimbali Road,80,Umlazi - B,"-29,9564286694132","30,9118109401866",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0219,24,B1,2969.12427330017,334.197248234482
215,Umlazi - B - BX6 (Emndeni I),BX6 (Emndeni I),Veni Yeni Road,80,Umlazi - B,"-29,9573070901411","30,9098718762501",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0218,56,B1,6661.08166885376,572.760143365711
216,Umlazi - A - A1,A1,Lucky Lushaba Road / Zimbali Road,80,Umlazi - A,"-29,9582084033284","30,9125301154363",Southern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0208,39,B1,3960.15868186951,493.125473805772
217,Umlazi - A - AX1,AX1,Gybon Mpanza Drive / Veni Yeni Road,88/80,Umlazi - A,"-29,9599798138628","30,9130436225",Southern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Yes,I0212,86,B1,14438.0662021637,1139.74626520259
218,Umlazi - D - D1 (Ebuhleni),D1 (Ebuhleni),Ntonto Zulu Drive,88,Umlazi - D,"-29,9609170640707","30,9088919396775",Southern,Standpipes,Planned Ablution Block,C&SW contractor,Yes,I0701,34,C,3345.03286170959,276.602843252344
219,Umlazi - A - AX2,Umlazi - Part 3 - AX2,Veni Yeni Road,88,Umlazi - A,"-29,9594809875939","30,9176313055001",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0213,33,B1,1948.55385780334,366.566374831499
220,Umlazi - A - AX4 (Shayamoya) - Investigate with V1,AX4 (Shayamoya),Veni Yeni Road,88,Umlazi - A,"-29,9585537092515","30,9197607390341",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0207,52,B1,2213.10040473938,481.688331574057
221,Mfeka Place, ,Ntuli Street / Ntuli Walk / Ngidi Place,74,Lamontville,"-29,9439197379475","30,9414062020001",Southern,"Ablution Facility Taps, 2 Standpipes & Ground water tanks",Ablution Facility,C&SW contractor,Planned,I0129,63,B1,2844.21017837524,715.450578382375
222,Umlazi - B - BX1 (Phola Place),BX1 (Phola Place),Imfongosi Drive / Zitinini Drive,81/80,Umlazi - B,"-29,9531073967461","30,9107114235001",Southern,Ablution Facility Taps & Standpipes,Ablution Facility & VIPs,C&SW contractor,Yes,I0215,143,B1,23741.3635959625,1863.6085822815
223,Umlazi - D - DX13 (Mhlanga Forest),DX13 (Mhlanga Forest),Siyaya Street,88,Umlazi - D,"-29,9700614185174","30,8952454920001",Southern,2 standpipes and on-yard taps,Pit Privies,C&SW contractor,Yes,I0227,28,B1,4581.75627708435,692.593841240627
224,Qhiph'Khowe,Ezimbokodweni,Wanda Cele Road / 50252 Street,93,Ezimbokodweni / Umbongintwini,"-30,0093955868322","30,9017492219292",Southern,Standpipes,TBC,C&SW contractor,Yes,I0164,551,B1,83869.374174118,1884.16040868394
225,Umlazi - F - FX3 (Moscow),FX3 (Moscow),Ilembe Crescent / Gugu Dube Street,79,Umlazi - F,"-29,94500836801","30,8990000280582",Southern,1 Standpipe,Pit Privies,C&SW contractor,Yes,I0243,139,A,16883.0744991302,2523.104142383
226,Umlazi - V - V2/V3/V 4,V2/V3/V 4,Madiva Mbutho Road,80,Umlazi - V,"-29,9510836309412","30,9224687642139",Southern,Standpipes,VIPs,C&SW contractor,Yes,I0348,258,B1,36684.8984527588,4330.44585512109
227,Umlazi - B - BX2 (Ezwini),BX2 (Ezwini),Dlangisa Avenue,81,Umlazi - B,"-29,9534177528349","30,9050497807502",Southern,Standpipes,Pit Privies,C&SW contractor,Yes,I0540,54,B2/C,8960.79579734802,1134.88349188663
228,Unity Avenue, ,Lenny Naidu Drive / Unity Avenue,69,Bayview,"-29,9279833537897","30,9099283841298",Southern,"Ablution facility taps, Water reticulation system installed",Ablution Facility,C&SW contractor,Yes,I0385,956,B2,97785.0204925537,1988.36309058646
229,Savanha Place, ,Ntuli Road,74,Lamontville,"-29,9484338991772","30,9394867557501",Southern,Water Tanks,TBC,C&SW contractor,Yes,I0823,11,C,1380.98087692261,317.932138033687
230,Umlazi - D - BX 4 / B X 7 (Ethenisini),BX 4 / B X 7 (Ethenisini),Road no 222 / Fred Gwala Close,88,Umlazi - B / Umlazi - D,"-29,9648788247961","30,9043435135002",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0225,66,B1,9591.84497642517,1372.03177613652
231,Umlazi - B - B10  Lusaka Overspill,B10  Lusaka Overspill,Majubeni Groove / Masijabule Lane,81/80,Umlazi - B,"-29,9529060321171","30,9075144867567",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0836,215,B2,33079.0758037567,1981.70866802047
232,Umlazi - C - CX2 (Egqumeni),CX2 (Egqumeni),Phumzile Circle,81,Umlazi - C,"-29,951569397822","30,9043553940001",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0223,64,A,5158.06645774841,1087.1938590887
233,Umlazi - E - E2 (Egoli),E2 (Egoli),Guerilla Road / 107877 Street,80,Umlazi - E,"-29,9522326712816","30,9171185925001",Southern,Standpipes,VIPs,C&SW contractor,Yes,I0231,80,A,12242.2169265747,1138.4525634858
234,Umlazi - F - F6 (Limpopo),"F6 (Limpopo), Umlazi - Part 2",Dinuzulu Road / Cyril Zulu Grove,79,Umlazi - F,"-29,9416887848004","30,8947657723033",Southern,TBC,VIPs,C&SW contractor,Yes,I0241,117,A,13161.53764534,1859.8875606228
235,Umlazi - Q - Q4 / Q5,Q4 / Q5,Ugagane Street / Banana Road /,87,Umlazi - Q,"-29,9850120999113","30,8982504375001",Southern,Yes,VIPs,C&SW contractor,Yes,I0317,257,B1,31791.0541000366,2422.97178635609
236,Ngcamu,Lamontville MEC,Ngcamu Place,74,Lamontville,"-29,947707608623","30,9296073213204",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0147,51,B1,7673.48900032043,717.589184442966
237,Ekuthuleni 2 A (Lillian Ngoyi),Lamontville MEC,Simelane Place/ Sibiya Place / Makhathini Avenue,74,Lamontville,"-29,9463028314559","30,9292050802501",Southern,Standpipes,Pit Privies,C&SW contractor,Yes,I0056,43,B1,6903.18613243103,900.616167301363
238,Umlazi --B 2088, ,No road Name,88,Umlazi --B,"-29,9655102511509","30,9022703452237",Southern,TBC,TBC,C&SW contractor,TBC,I0887,24,B1,1311.81546974182,177.893408079378
239,Walter Sisulu,None,Kaula Road,75/74,Lamontville,"-29,942188248508","30,9456782592501",Southern,2 standpipes,Pit Privies,C&SW contractor,Yes_High mast,I0365,31,A,2183.73201560974,477.728689852849
240,Umlazi - W - DX1 overspill,Umlazi - W,Zwe Madlala / 237 str,82,Umlazi - W,"-29,9630017342877","30,8982524026777",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,TBC,I0890,29,B1,1698.55761146545,326.021211116881
241,Ekuthuleni 3, ,Hall Drive / Malinga Road,75,Lamontville,"-29,9505245213368","30,941764116463",Southern,No Water Supply,Pit Privies,C&SW contractor,TBC,I0904,52,B1,3159.22189903259,259.333360465289
242,Ntwasa / Mpanza Roads, ,Mhlongo Road / Mpanza Road,74,Lamontville,"-29,9405828543997","30,9414203517501",Southern,TBC,Pit Privies,C&SW contractor,Planned,I0586,50,B2,2843.51998138428,616.024211939893
243,Mhlongo / Gambushe Roads, ,Magalela Place,74,Lamontville,"-29,9401833160154","30,9392575981057",Southern,TBC,Ablution facility & Pit privies,C&SW contractor,Planned,I0587,5,B2,278.573476791382,117.256026128224
244,Ekuthuleni 2B (Raymond Mhlaba),"Lamontville MEC, Ngcamu",Ngcamu Place,74,Lamontville,"-29,9465541609595","30,9314150154751",Southern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0525,272,B2/B1,33008.5513725281,2149.96152560214
245,DSW Tip Site (Tara Road), ,Tara Road,66,Van Riebeeck Park,"-29,9269726693291","31,0028524295386",Southern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Planned,I0804,33,B2,1917.50894081593,243.747329966142
246,Buldana Road, ,Buldana Road,68,Merewent,"-29,9553844459358","30,9886306188054",Southern,Standpipes,TBC,C&SW contractor,Planned,I0815,16,B2,1614.53695392609,334.749339594191
247,Manyaleni, ,Lenny Naidu Drive,69,Bayview,"-29,9273672387635","30,9128691286268",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0124,268,B1,14133.1634788513,576.51754071887
248,Mathe, ,Mate Place,74,Lamontville,"-29,9414425892428","30,9294085987511",Southern,Standpipes,Pit Privies,C&SW contractor,Planned,I0127,31,B1,3865.1955947876,558.263127782913
249,Ngqayizivele,Ngqayizivele,Njabulo Zamisa Street,88,Umlazi - D,"-29,9627573804422","30,912162741",Southern,TBC,TBC,C&SW contractor,Planned,I0840,36,B2,1892.83845329285,438.879014837693
250,Umlazi - B - Mfene City (BX4/BX7),"Thenisini Overspill, eThensini",Baphelabantu Street,88,Umlazi - B / Umlazi - D,"-29,9656838714833","30,9013295546521",Southern,Ablution Facility Taps and Illegal Taps,Ablution Facility,C&SW contractor,Yes,I0130,49,B1,2953.66464996338,415.124967963907
251,Lucky Lushaba, ,Lucky Lushaba/Gybon Mpanza,80,Umlazi - A,"-29,9588220952063","30,9141448408052",Southern,TBC,TBC,C&SW contractor,TBC,I0866,23,B1,1656.46203041077,209.976145585633
252,Madlala Settlement,Radebe Str,Radebe Str / Matwebula Road,74,Lamontville,"-29,9450948790461","30,9346866275001",Southern,TBC,TBC,C&SW contractor,TBC,I0856,1483,B2,148329.126268387,4785.01398827553
253,Barcelona 2, ,Sihlahla Road,75,Lamontville,"-29,9481497961538","30,9470761005001",Southern,TBC,TBC,C&SW contractor,TBC,I0384,57,B1,3350.28937339783,533.289856943971
254,Ntuli-Mathwebula settlement, ,Ntuli Street,74,Lamontville,"-29,9469470216894","30,9376255570001",Western,TBC,TBC,C&SW contractor,TBC,I0886,1015,C,88810.2554073334,3721.54884499192
255,Mhlongo Msimango, ,Mhlongo Road,74,Lamontville,"-29,9390338041003","30,943285208",Southern,No water Supply,Pit Privies,C&SW contractor,TBC,I0901,18,B1,659.184858322144,191.146078989193
256,Mfeka Place 2, ,Usiba Walk,74,Lamontville,"-29,9450473462128","30,9415044965001",Southern,TBC,TBC,C&SW contractor,TBC,I0907,46,B1,2207.76143836975,435.055276771616
257,Umlazi - E - EX15 (Buyani),EX15 (Buyani),Sbusiso Mdakane Drive,81,Umlazi - E,"-29,9481472321834","30,9092786138399",Southern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0236,262,B1,19098.3305072784,827.532354550018
